fips_code,county_name,state,temperature
06075,San Francisco,CA,53.7
48235,Irion,TX,84.3
48309,McLennan,TX,86.3
48173,Glasscock,TX,83.4
48401,Rusk,TX,84.3
48423,Smith,TX,83.7
48459,Upshur,TX,84.7
48165,Gaines,TX,81.0
48433,Stonewall,TX,88.8
48269,King,TX,89.0
48153,Floyd,TX,82.2
48197,Hardeman,TX,89.2
48437,Swisher,TX,80.8
48483,Wheeler,TX,85.7
06071,San Bernardino,CA,82.0
48195,Hansford,TX,86.2
48421,Sherman,TX,84.4
06107,Tulare,CA,72.7
06001,Alameda,CA,66.2
36047,Kings,NY,83.9
36061,New York,NY,84.7
36005,Bronx,NY,82.7
06035,Lassen,CA,67.8
36103,Suffolk,NY,78.0
06113,Yolo,CA,83.2
06063,Plumas,CA,70.8
36027,Dutchess,NY,77.1
36015,Chemung,NY,74.0
36021,Columbia,NY,77.4
36043,Herkimer,NY,71.7
36113,Warren,NY,71.7
36041,Hamilton,NY,69.5
36089,St. Lawrence,NY,73.1
36093,Schenectady,NY,66.5
36075,Oswego,NY,70.9
48443,Terrell,TX,70.9
48471,Walker,TX,72.2
48413,Schleicher,TX,65.7
48327,Menard,TX,63.2
48281,Lampasas,TX,64.2
48289,Leon,TX,67.5
48461,Upton,TX,68.2
48049,Brown,TX,65.9
48419,Shelby,TX,71.2
48431,Sterling,TX,67.0
48217,Hill,TX,67.3
48133,Eastland,TX,65.9
48251,Johnson,TX,65.9
48003,Andrews,TX,66.6
48439,Tarrant,TX,67.4
48397,Rockwall,TX,67.6
48159,Franklin,TX,67.7
48219,Hockley,TX,64.2
48345,Motley,TX,67.6
06073,San Diego,CA,76.7
48075,Childress,TX,68.4
48369,Parmer,TX,64.2
48129,Donley,TX,66.8
06059,Orange,CA,73.2
48211,Hemphill,TX,66.7
06111,Ventura,CA,75.2
48295,Lipscomb,TX,65.4
06029,Kern,CA,83.2
06053,Monterey,CA,74.8
06069,San Benito,CA,76.2
